,neighbourhood,property_type,room_type,max_capacity(pax),bathrooms,bedrooms,price,cancellation_policy,Distance_from_center(m),Perc_Utilities,Perc_extra
0,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,95,2,5740.959745067442,0.1666666666666666,0.2857142857142857
1,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,60,2,5740.959745067442,0.8333333333333334,0.4285714285714285
2,Bijlmer-Oost,House,Private room,2,1.0,1.0,45,1,5740.959745067442,0.3333333333333333,0.1428571428571428
3,Bijlmer-Oost,Apartment,Private room,3,1.5,1.0,35,1,5740.959745067442,0.8333333333333334,0.2857142857142857
4,Bijlmer-Oost,House,Private room,1,1.0,1.0,39,1,5740.959745067442,0.3333333333333333,0.1428571428571428
5,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,0.0,80,2,5740.959745067442,0.6666666666666666,0.1428571428571428
6,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,129,1,5740.959745067442,0.6666666666666666,0.2857142857142857
7,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,120,2,5740.959745067442,0.6666666666666666,0.2857142857142857
8,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,111,2,5740.959745067442,0.8333333333333334,0.4285714285714285
9,Bijlmer-Oost,Apartment,Entire home/apt,6,1.0,1.0,251,0,5740.959745067442,0.1666666666666666,0.2857142857142857
10,Bijlmer-Oost,House,Private room,2,1.0,1.0,45,2,5740.959745067442,0.6666666666666666,0.1428571428571428
11,Bijlmer-Oost,Apartment,Entire home/apt,5,1.0,3.0,150,0,5740.959745067442,0.6666666666666666,0.4285714285714285
12,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,30,2,5740.959745067442,0.6666666666666666,0.2857142857142857
13,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,99,2,5740.959745067442,0.5,0.2857142857142857
14,Bijlmer-Oost,House,Private room,2,2.0,1.0,40,0,5740.959745067442,0.6666666666666666,0.1428571428571428
15,Bijlmer-Oost,House,Private room,1,2.0,1.0,40,0,5740.959745067442,0.6666666666666666,0.1428571428571428
16,Bijlmer-Oost,Apartment,Private room,1,1.0,1.0,29,0,5740.959745067442,0.6666666666666666,0.4285714285714285
17,Bijlmer-Oost,House,Private room,2,1.0,1.0,45,2,5740.959745067442,0.6666666666666666,0.1428571428571428
18,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,30,0,5740.959745067442,0.5,0.4285714285714285
19,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,1.0,55,0,5740.959745067442,0.6666666666666666,0.2857142857142857
20,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,130,1,5740.959745067442,0.6666666666666666,0.2857142857142857
21,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,69,0,5740.959745067442,0.8333333333333334,0.4285714285714285
22,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,49,1,5740.959745067442,0.5,0.2857142857142857
23,Bijlmer-Oost,House,Private room,2,1.5,1.0,80,2,5740.959745067442,0.8333333333333334,0.2857142857142857
24,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,0.0,52,2,5740.959745067442,0.3333333333333333,0.2857142857142857
25,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,85,0,5740.959745067442,0.1666666666666666,0.2857142857142857
26,Bijlmer-Oost,Apartment,Private room,1,1.0,1.0,30,0,5740.959745067442,0.3333333333333333,0.4285714285714285
27,Bijlmer-Oost,Apartment,Private room,1,1.0,1.0,35,2,5740.959745067442,0.3333333333333333,0.4285714285714285
28,Bijlmer-Oost,Apartment,Entire home/apt,5,1.0,1.0,100,0,5740.959745067442,0.0,0.0
29,Bijlmer-Oost,Bed & Breakfast,Private room,2,2.0,1.0,70,0,5740.959745067442,0.8333333333333334,0.2857142857142857
30,Bijlmer-Oost,Apartment,Entire home/apt,3,1.0,1.0,79,1,5740.959745067442,0.6666666666666666,0.2857142857142857
31,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,120,1,5740.959745067442,0.6666666666666666,0.1428571428571428
32,Bijlmer-Oost,House,Private room,2,1.0,1.0,65,1,5740.959745067442,0.6666666666666666,0.2857142857142857
33,Bijlmer-Oost,Apartment,Entire home/apt,6,1.0,2.0,45,1,5740.959745067442,0.8333333333333334,0.5714285714285714
34,Bijlmer-Oost,Apartment,Private room,4,1.0,1.0,55,2,5740.959745067442,0.6666666666666666,0.2857142857142857
35,Bijlmer-Oost,House,Entire home/apt,4,1.0,2.0,120,0,5740.959745067442,0.8333333333333334,0.2857142857142857
36,Bijlmer-Oost,House,Private room,2,1.0,1.0,40,2,5740.959745067442,0.3333333333333333,0.1428571428571428
37,Bijlmer-Oost,House,Private room,2,1.0,1.0,36,2,5740.959745067442,0.6666666666666666,0.1428571428571428
38,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,1.0,50,1,5740.959745067442,0.5,0.4285714285714285
39,Bijlmer-Oost,House,Private room,1,1.0,1.0,27,2,5740.959745067442,0.6666666666666666,0.1428571428571428
40,Bijlmer-Oost,House,Private room,4,1.0,1.0,77,1,5740.959745067442,0.6666666666666666,0.1428571428571428
41,Bijlmer-Oost,Apartment,Entire home/apt,4,1.5,2.0,75,1,5740.959745067442,0.6666666666666666,0.2857142857142857
42,Bijlmer-Oost,Apartment,Entire home/apt,4,1.5,2.0,99,0,5740.959745067442,0.8333333333333334,0.4285714285714285
43,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,1.0,50,1,5740.959745067442,0.6666666666666666,0.0
44,Bijlmer-Oost,House,Private room,2,1.0,1.0,45,0,5740.959745067442,0.6666666666666666,0.1428571428571428
45,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,0.0,100,2,5740.959745067442,0.8333333333333334,0.2857142857142857
46,Bijlmer-Oost,Apartment,Private room,2,1.5,1.0,50,2,5740.959745067442,0.5,0.1428571428571428
47,Bijlmer-Oost,Apartment,Entire home/apt,3,1.0,1.0,98,1,5740.959745067442,1.0,0.4285714285714285
48,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,60,1,5740.959745067442,0.8333333333333334,0.2857142857142857
49,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,45,0,5740.959745067442,0.5,0.2857142857142857
50,Bijlmer-Oost,Apartment,Private room,1,1.0,1.0,30,2,5740.959745067442,0.6666666666666666,0.2857142857142857
51,Bijlmer-Oost,Apartment,Entire home/apt,4,1.5,2.0,140,1,5740.959745067442,0.6666666666666666,0.2857142857142857
52,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,55,0,5740.959745067442,0.6666666666666666,0.5714285714285714
53,Bijlmer-Oost,Apartment,Private room,4,1.5,1.0,75,1,5740.959745067442,1.0,0.4285714285714285
54,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,2.0,80,1,5740.959745067442,0.6666666666666666,0.4285714285714285
55,Bijlmer-Oost,Apartment,Shared room,1,1.0,1.0,45,2,5740.959745067442,0.0,0.2857142857142857
56,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,1.0,93,1,5740.959745067442,0.5,0.4285714285714285
57,Bijlmer-Oost,Apartment,Private room,2,1.0,1.0,45,0,5740.959745067442,0.6666666666666666,0.7142857142857143
58,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,2.0,115,1,5740.959745067442,0.8333333333333334,0.4285714285714285
59,Bijlmer-Oost,House,Private room,2,1.0,1.0,45,1,5740.959745067442,0.6666666666666666,0.1428571428571428
60,Bijlmer-Oost,Apartment,Entire home/apt,4,1.0,1.0,75,0,5740.959745067442,0.8333333333333334,0.5714285714285714
61,Bijlmer-Oost,Apartment,Entire home/apt,5,0.5,2.0,110,1,5740.959745067442,0.5,0.2857142857142857
62,Bijlmer-Oost,House,Private room,2,1.0,1.0,30,0,5740.959745067442,0.6666666666666666,0.1428571428571428
63,Bijlmer-Oost,Apartment,Entire home/apt,5,2.0,2.0,99,1,5740.959745067442,0.6666666666666666,0.2857142857142857
64,Bijlmer-Oost,Apartment,Private room,2,1.5,1.0,70,2,5740.959745067442,0.8333333333333334,0.2857142857142857
65,Bijlmer-Oost,Apartment,Entire home/apt,2,1.0,1.0,65,1,5740.959745067442,0.6666666666666666,0.2857142857142857
66,Noord-Oost,Apartment,Private room,2,1.0,1.0,75,1,3940.049849311589,0.5,0.0
67,Noord-Oost,House,Entire home/apt,5,1.0,2.0,99,1,5740.959745067442,0.6666666666666666,0.2857142857142857
68,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,120,2,4097.0926131428205,0.6666666666666666,0.1428571428571428
69,Noord-Oost,Apartment,Private room,2,1.0,1.0,45,0,4145.252141787622,0.5,0.1428571428571428
70,Noord-Oost,Bed & Breakfast,Entire home/apt,4,1.0,1.0,74,2,5740.959745067442,0.0,0.2857142857142857
71,Noord-Oost,House,Entire home/apt,4,1.0,4.0,102,1,4778.8009190884495,0.6666666666666666,0.0
72,Noord-Oost,Apartment,Entire home/apt,4,1.0,1.0,64,0,4060.581848432069,0.6666666666666666,0.2857142857142857
73,Noord-Oost,House,Entire home/apt,4,1.0,3.0,125,1,4845.91953621234,0.6666666666666666,0.1428571428571428
74,Noord-Oost,House,Entire home/apt,4,1.0,2.0,150,2,4829.499267141243,0.6666666666666666,0.1428571428571428
75,Noord-Oost,House,Entire home/apt,4,1.0,1.0,70,2,5740.959745067442,0.0,0.2857142857142857
76,Noord-Oost,House,Entire home/apt,4,1.0,2.0,100,1,4849.136968287184,0.8333333333333334,0.0
77,Noord-Oost,Apartment,Entire home/apt,4,1.0,3.0,150,2,4501.456944884434,0.6666666666666666,0.1428571428571428
78,Noord-Oost,Apartment,Entire home/apt,2,1.0,0.0,65,2,5740.959745067442,0.6666666666666666,0.2857142857142857
79,Noord-Oost,House,Entire home/apt,4,1.0,2.0,100,1,5740.959745067442,0.6666666666666666,0.2857142857142857
80,Noord-Oost,Bed & Breakfast,Entire home/apt,3,1.0,1.0,69,2,5740.959745067442,0.0,0.2857142857142857
81,Noord-Oost,House,Entire home/apt,4,1.0,2.0,120,0,4633.315733034278,0.0,0.0
82,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,85,1,4151.678548272083,0.6666666666666666,0.1428571428571428
83,Noord-Oost,House,Entire home/apt,6,1.5,4.0,130,2,5125.586476059229,0.8333333333333334,0.1428571428571428
84,Noord-Oost,House,Entire home/apt,4,1.0,3.0,181,0,4905.3456073803945,0.6666666666666666,0.4285714285714285
85,Noord-Oost,House,Entire home/apt,4,1.0,4.0,160,0,4848.4248877118125,0.8333333333333334,0.1428571428571428
86,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,75,0,4117.216887695585,0.6666666666666666,0.1428571428571428
87,Noord-Oost,Apartment,Entire home/apt,2,1.0,0.0,90,2,4961.437418377693,0.5,0.2857142857142857
88,Noord-Oost,House,Entire home/apt,4,1.0,2.0,90,2,5740.959745067442,0.5,0.2857142857142857
89,Noord-Oost,House,Entire home/apt,4,1.0,3.0,226,1,4628.129605226458,0.5,0.1428571428571428
90,Noord-Oost,House,Entire home/apt,2,1.0,1.0,68,2,5740.959745067442,0.0,0.2857142857142857
91,Noord-Oost,House,Entire home/apt,6,1.0,3.0,200,1,5740.959745067442,0.6666666666666666,0.1428571428571428
92,Noord-Oost,Bed & Breakfast,Private room,4,1.0,1.0,80,2,5740.959745067442,0.1666666666666666,0.0
93,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,79,1,4551.259560974939,0.6666666666666666,0.0
94,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,85,2,4858.436381992589,0.6666666666666666,0.1428571428571428
95,Noord-Oost,House,Entire home/apt,2,1.0,2.0,85,0,5740.959745067442,0.5,0.4285714285714285
96,Noord-Oost,Apartment,Entire home/apt,2,1.0,0.0,65,2,5740.959745067442,0.8333333333333334,0.1428571428571428
97,Noord-Oost,House,Entire home/apt,4,1.5,2.0,150,0,4567.17750424854,0.6666666666666666,0.1428571428571428
98,Noord-Oost,House,Entire home/apt,5,2.0,2.0,150,0,4594.540030890797,0.3333333333333333,0.1428571428571428
99,Noord-Oost,Apartment,Private room,2,1.0,1.0,60,1,4195.98582401748,0.0,0.0
100,Noord-Oost,Apartment,Private room,2,1.0,1.0,65,0,4475.790592122399,0.0,0.1428571428571428
101,Noord-Oost,Bed & Breakfast,Entire home/apt,2,1.0,1.0,80,1,5740.959745067442,0.6666666666666666,0.4285714285714285
